date,time,home_team,score,away_team,attendance,venue,home_goals,away_goals
1989-04-08,,Bochum,2–0,Karlsruher,,,2.0,0.0
1989-04-08,,Mannheim,1–0,Eint Frankfurt,,,1.0,0.0
1989-04-08,,Köln,2–2,Kaiserslautern,,,2.0,2.0
,,,,,,,,
1989-04-13,,Hannover 96,0–2,Mannheim,,,0.0,2.0
1989-04-14,,Stuttgart,3–1,Bochum,,,3.0,1.0
1989-04-14,,Kaiserslautern,2–0,Uerdingen,,,2.0,0.0
1989-04-15,,Leverkusen,0–0,Köln,,,0.0,0.0
1989-04-15,,Werder Bremen,4–0,S'gart Kickers,,,4.0,0.0
1989-04-15,,Dortmund,1–1,Bayern Munich,,,1.0,1.0
1989-04-15,,Hamburger SV,3–2,Nürnberg,,,3.0,2.0
1989-04-15,,Karlsruher,1–3,Eint Frankfurt,,,1.0,3.0
1989-04-15,,M'Gladbach,2–2,St Pauli,,,2.0,2.0
,,,,,,,,
1989-04-20,,Hamburger SV,1–2,M'Gladbach,,,1.0,2.0
,,,,,,,,
1989-04-29,,Bayern Munich,4–0,Hannover 96,,,4.0,0.0
1989-04-29,,Bochum,2–1,Hamburger SV,,,2.0,1.0
1989-04-29,,S'gart Kickers,1–2,Dortmund,,,1.0,2.0
1989-04-29,,St Pauli,1–3,Werder Bremen,,,1.0,3.0
1989-04-29,,Mannheim,2–0,Karlsruher,,,2.0,0.0
1989-04-29,,Eint Frankfurt,1–3,Stuttgart,,,1.0,3.0
1989-04-29,,Köln,3–1,M'Gladbach,,,3.0,1.0
1989-04-29,,Uerdingen,3–1,Leverkusen,,,3.0,1.0
1989-04-29,,Nürnberg,1–1,Kaiserslautern,,,1.0,1.0
,,,,,,,,
1989-05-05,,Leverkusen,3–0,Nürnberg,,,3.0,0.0
1989-05-05,,Kaiserslautern,3–0,Bochum,,,3.0,0.0
1989-05-06,,M'Gladbach,3–0,Uerdingen,,,3.0,0.0
1989-05-06,,Werder Bremen,1–2,Köln,,,1.0,2.0
1989-05-06,,Bayern Munich,1–0,Mannheim,,,1.0,0.0
1989-05-06,,Dortmund,0–0,St Pauli,,,0.0,0.0
1989-05-06,,Hamburger SV,2–1,Eint Frankfurt,,,2.0,1.0
1989-05-06,,Stuttgart,2–0,Karlsruher,,,2.0,0.0
1989-05-06,,Hannover 96,3–4,S'gart Kickers,,,3.0,4.0
,,,,,,,,
1989-05-12,,Mannheim,3–4,Stuttgart,,,3.0,4.0
1989-05-12,,Eint Frankfurt,3–2,Kaiserslautern,,,3.0,2.0
1989-05-13,,Karlsruher,2–2,Hamburger SV,,,2.0,2.0
1989-05-13,,S'gart Kickers,2–0,Bayern Munich,,,2.0,0.0
1989-05-13,,St Pauli,1–1,Hannover 96,,,1.0,1.0
1989-05-13,,Köln,2–0,Dortmund,,,2.0,0.0
1989-05-13,,Nürnberg,0–0,M'Gladbach,,,0.0,0.0
1989-05-13,,Uerdingen,2–1,Werder Bremen,,,2.0,1.0
1989-05-16,,Bochum,2–4,Leverkusen,,,2.0,4.0
,,,,,,,,
1989-05-19,,Werder Bremen,2–1,Nürnberg,,,2.0,1.0
1989-05-19,,S'gart Kickers,1–3,Mannheim,,,1.0,3.0
1989-05-20,,Kaiserslautern,1–2,Karlsruher,,,1.0,2.0
1989-05-20,,Hannover 96,2–2,Köln,,,2.0,2.0
1989-05-20,,Hamburger SV,2–1,Stuttgart,,,2.0,1.0
1989-05-20,,Leverkusen,2–2,Eint Frankfurt,,,2.0,2.0
1989-05-20,,M'Gladbach,2–0,Bochum,,,2.0,0.0
1989-05-20,,Bayern Munich,2–1,St Pauli,,,2.0,1.0
1989-05-20,,Dortmund,4–2,Uerdingen,,,4.0,2.0
,,,,,,,,
1989-05-23,,Stuttgart,3–1,Kaiserslautern,,,3.0,1.0
1989-05-25,,Mannheim,0–0,Hamburger SV,,,0.0,0.0
1989-05-25,,Karlsruher,2–3,Leverkusen,,,2.0,3.0
1989-05-25,,Eint Frankfurt,1–1,M'Gladbach,,,1.0,1.0
1989-05-25,,Nürnberg,1–1,Dortmund,,,1.0,1.0
1989-05-25,,St Pauli,1–0,S'gart Kickers,,,1.0,0.0
1989-05-25,,Bochum,0–1,Werder Bremen,,,0.0,1.0
1989-05-25,,Köln,1–3,Bayern Munich,,,1.0,3.0
1989-05-25,,Uerdingen,7–3,Hannover 96,,,7.0,3.0
,,,,,,,,
1989-06-02,,Mannheim,2–1,St Pauli,,,2.0,1.0
